HouseID,Title,Hood,Parish,Price,Gross_Area,Typology
32542861,Apartamento T1 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,421000,54,T1
32516892,Apartamento T1 à venda na rua Alves Torgo s/n,Alameda - Praça do Chile - Almirante Reis,São Jorge de Arroios,230000,60,T1
32593210,"Apartamento T1 à venda na rua do Salvador, 36",São Vicente de Fora,São Vicente,275000,51,T1
32400724,Apartamento T1 à venda na rua Castelo Branco Saraiva,Centro,Penha de França,280000,56,T1
30019802,Apartamento T1 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,470000,58,T1
32086249,Apartamento T1 à venda em Alameda - Praça do Chile - Almirante Reis,São Jorge de Arroios,Arroios,330000,60,T1
32430587,Apartamento T1 à venda em Campo Grande,Alvalade,NA,490000,75,T1
32323405,Apartamento T1 à venda em Av. de Roma - Campo Pequeno,Areeiro,NA,660000,77,T1
32311011,Apartamento T1 à venda em Anjos,Arroios,NA,649000,90,T1
32622233,Apartamento T1 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,1125000,96,T1
32604206,Duplex à venda em Anjos,Arroios,NA,558000,103,T1
32466894,Apartamento T1 à venda na rua Engenheiro Paulo Barros,Bairro de Santa Cruz,Benfica,370000,89,T1
32534495,Apartamento T1 à venda na alameda dos Oceanos,Expo Sul,Parque das Nações,490000,95,T1
30403464,Apartamento T1 à venda na rua Parreiras,Príncipe Real - São Bento,Misericórdia,320000,54,T1
32396098,"Apartamento T1 à venda na travessa Santana da Cruz, 6",Pena,Arroios,280000,54,T1
32330502,Apartamento T1 à venda na rua do Carmo,Chiado,Santa Maria Maior,859500,142,T1
32636353,Apartamento T1 à venda em Expo Norte,Parque das Nações,NA,425000,75,T1
32290944,Apartamento T1 à venda em Centro,Campo de Ourique,NA,350000,50,T1
31602386,Apartamento T1 à venda em Bairro Calçada dos Mestres,Campolide,NA,250000,54,T1
32638126,Apartamento T1 à venda em Anjos,Arroios,NA,535000,56,T1
32225076,Apartamento T1 à venda em Rato - Amoreiras,Santo António,NA,425000,47,T1
32584267,Penthouse à venda na rua Pascoal de Melo,Estefânia,São Jorge de Arroios,489000,68,T1
32638345,"Apartamento T1 à venda na rua Fernando Assis Pacheco , 207",Centro,Campo de Ourique,605000,91,T1
32638346,"Apartamento T1 à venda na rua Fernando Assis Pacheco , 207",Centro,Campo de Ourique,645000,98,T1
32638288,"Apartamento T1 à venda na rua Fernando Assis Pacheco , 207",Centro,Campo de Ourique,640000,100,T1
32636694,Apartamento T1 à venda na rua Reinaldo Ferreira s/n,São João de Brito,Alvalade,150000,42,T1
32566005,Apartamento T1 à venda em Santa Engrácia,São Vicente,NA,269500,50,T1
32601655,"Apartamento T1 à venda na rua Morais Soares, 41",Centro,Penha de França,299900,52,T1
31996553,Apartamento T1 à venda na rua Rodrigo da Fonseca,Rato - Amoreiras,Santo António,526700,72,T1
32594908,Apartamento T1 à venda na rua do Vale de Santo António,São Vicente de Fora,São Vicente,330000,85,T1
32589643,"Apartamento T1 à venda , campo Grande",Campo Grande,Alvalade,485000,77,T1
32321429,Apartamento T1 à venda na rua Correia Teles,Centro,Campo de Ourique,445000,67,T1
30756659,Duplex à venda na rua do Almada,Bica - Santa Catarina,Misericórdia,245000,41,T1
32196900,"Apartamento T1 à venda , Praça da Viscondessa dos Olivais",Olivais,Lisboa,390000,74,T1
32620452,Apartamento T1 à venda em Centro,Penha de França,NA,299900,51,T1
31996557,Apartamento T1 à venda na rua Rodrigo da Fonseca,Rato - Amoreiras,Santo António,506800,72,T1
32399267,Apartamento T1 à venda na rua Rodrigo da Fonseca,Rato - Amoreiras,Santo António,571200,72,T1
32399261,Apartamento T1 à venda na rua Rodrigo da Fonseca,Rato - Amoreiras,Santo António,559300,72,T1
32549883,Apartamento T1 à venda na rua da Emenda,Chiado - Pç. de Camões,Misericórdia,695000,106,T1
32630725,Apartamento T1 à venda em Principe Real - Praça da Alegria,Santo António,NA,373000,68,T1
32064374,Apartamento T1 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,1500000,129,T1
32567632,Apartamento T1 à venda em Centro,Penha de França,NA,265000,36,T1
32064464,Apartamento T1 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,1200000,99,T1
31439359,Apartamento T1 à venda em Estefânia,São Jorge de Arroios,Arroios,285000,38,T1
32432731,Apartamento T1 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,690000,133,T1
31710647,Apartamento T1 à venda em Saldanha - Picoas,São Jorge de Arroios,Arroios,500000,60,T1
32623062,"Apartamento T1 à venda na rua de Entre Muros do Mirante, 8",São Vicente de Fora,São Vicente,285000,54,T1
32352648,Apartamento T1 à venda em São Vicente de Fora,São Vicente,NA,550000,84,T1
32622967,"Apartamento T1 à venda na rua de Entre Muros do Mirante, 6",São Vicente de Fora,São Vicente,325000,73,T1
32631586,Apartamento T1 à venda na rua Castilho,Av. da Liberdade - Marquês de Pombal,Santo António,450000,70,T1
32424490,Apartamento T1 à venda na rua Gervásio Lobato,Centro,Campo de Ourique,189900,48,T1
32631527,"Apartamento T1 à venda , Av. Marechal Francisco Costa Gomes",Beato,Lisboa,299000,55,T1
32489380,Apartamento T1 à venda em Bairro Alto,Misericórdia,NA,800000,63,T1
32470556,Apartamento T1 à venda em Praça de Espanha - Sete Rios,Campolide,NA,520000,73,T1
32566538,"Apartamento T1 à venda no largo das Olarias, 6",Castelo - Mouraria,Santa Maria Maior,270000,60,T1
32633722,Apartamento T1 à venda na rua Francisco Pedro Curado s/n,Centro,Penha de França,230000,66,T1
32315577,"Apartamento T1 à venda na rua Actor Tasso, 11",Av. da Liberdade - Marquês de Pombal,Santo António,500000,57,T1
32632877,"Apartamento T1 à venda na rua David Sousa , 15",Av. de Roma - Campo Pequeno,Areeiro,385000,57,T1
30458184,Apartamento T1 à venda em Bica - Santa Catarina,Misericórdia,NA,280000,46,T1
32494668,Apartamento T1 à venda em Centro,Penha de França,NA,350000,62,T1
32423571,Apartamento T1 à venda em Principe Real - Praça da Alegria,Santo António,NA,670000,55,T1
32572176,Apartamento T1 à venda na rua Lopes,Alto de São João - Alto do Varejão,Penha de França,310000,86,T1
32504911,"Apartamento T1 à venda na rua do Vale de Santo António, 27",São Vicente de Fora,São Vicente,299900,63,T1
31826792,Apartamento T1 à venda em Expo Central,Parque das Nações,NA,475000,59,T1
32372504,Apartamento T1 à venda em Chiado,Santa Maria Maior,NA,995000,160,T1
32019835,Apartamento T1 à venda em Olivais,Lisboa,NA,365000,103,T1
30635864,Apartamento T1 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,875000,67,T1
31908678,Apartamento T1 à venda em Chiado - Pç. de Camões,Misericórdia,NA,580000,83,T1
32312073,Apartamento T1 à venda em Alameda - Praça do Chile - Almirante Reis,São Jorge de Arroios,Arroios,630000,90,T1
31229150,Apartamento T1 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,921000,72,T1
32425895,Apartamento T1 à venda em Saldanha - Picoas,São Jorge de Arroios,Arroios,750000,77,T1
32234659,Apartamento T1 à venda na rua da Cruz Vermelha,Entrecampos,Avenidas Novas,380000,32,T1
32597286,Penthouse à venda em Marvila,Lisboa,NA,330000,91,T1
32635561,Apartamento T1 à venda na rua das Galés,Expo Norte,Parque das Nações,480000,63,T1
32473563,"Apartamento T1 à venda na rua da Misericórdia, 116",Chiado,Santa Maria Maior,650000,65,T1
32630143,Apartamento T1 à venda na rua Vicente Borga s/n,Santos-o-Velho - Madragoa,Estrela,235000,47,T1
31739605,Apartamento T1 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,380000,32,T1
31138467,Apartamento T1 à venda em Pena,Arroios,NA,1250000,127,T1
32410596,"Apartamento T1 à venda na estrada Buraca, 2",Fonte Nova - Calhariz,Benfica,400000,78,T1
32540468,Apartamento T1 à venda em Lapa,Estrela,NA,290000,56,T1
31039077,Duplex à venda em Bairro Alto,Misericórdia,NA,490000,88,T1
32482865,Apartamento T1 à venda na avenida Engenheiro Duarte Pacheco,Rato - Amoreiras,Santo António,485000,49,T1
31758470,Apartamento T1 à venda na avenida David Mourão-Ferreira,Alto do Lumiar - Quinta das Conchas - Quinta do Lambert,Lumiar,315000,85,T1
32620876,Apartamento T1 à venda em Centro,Penha de França,NA,299900,51,T1
32004081,Duplex à venda na rua da Conceição da Glória,Principe Real - Praça da Alegria,Santo António,600000,116,T1
31922313,Apartamento T1 à venda na rua Poiais de São Bento lISBOA,Bica - Santa Catarina,Misericórdia,561750,83,T1
32507209,Apartamento T1 à venda em Baixa,Santa Maria Maior,NA,550000,64,T1
32514674,Apartamento T1 à venda na rua Actor Augusto de Melo,Beato,Lisboa,399900,135,T1
32409030,Apartamento T1 à venda em Lapa,Estrela,NA,550000,75,T1
32611738,Apartamento T1 à venda na avenida Infante Santo s/n,Lapa,Estrela,560000,60,T1
32064231,Apartamento T1 à venda na avenida Gomes Pereira s/n,Avenida do Uruguai,Benfica,269500,60,T1
32555509,"Apartamento T1 à venda na rua Rua Eça de Queiroz, 11",Av. da Liberdade - Marquês de Pombal,Santo António,500000,74,T1
32611624,Apartamento T1 à venda na avenida Infante Santo s/n,Lapa,Estrela,420000,60,T1
31432727,"Apartamento T1 à venda na avenida 5 de Outubro, 293",Entrecampos,Avenidas Novas,560000,85,T1
32589885,"Apartamento T1 à venda na rua Gomes Freire, 165",Estefânia,São Jorge de Arroios,395800,78,T1
32326136,Apartamento T1 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,499000,60,T1
32620597,Apartamento T1 à venda na rua morais soares,Centro,Penha de França,299900,51,T1
32567316,Apartamento T1 à venda na rua do Olival s/n,Lapa,Estrela,550000,76,T1
32559366,Apartamento T1 à venda em Castelo - Mouraria,Santa Maria Maior,NA,500000,67,T1
31058119,Apartamento T1 à venda em Baixa,Santa Maria Maior,NA,500000,55,T1
32420785,Apartamento T1 à venda em São Vicente de Fora,São Vicente,NA,270000,42,T1
32423574,Apartamento T1 à venda em Baixa,Santa Maria Maior,NA,515000,54,T1
32425017,Apartamento T1 à venda na rua Virgílio Martinho s/n,Carnide,Lisboa,295000,65,T1
32393930,Apartamento T1 à venda em Principe Real - Praça da Alegria,Santo António,NA,310000,38,T1
32631721,Apartamento T1 à venda em Centro,Penha de França,NA,299900,51,T1
32089998,"Apartamento T1 à venda na avenida 24 de julho, 10",Cais do Sodré - Santos,Misericórdia,1125000,82,T1
32475921,"Apartamento T1 à venda na avenida Almirante Reis, 137",Alameda - Praça do Chile - Almirante Reis,São Jorge de Arroios,327000,60,T1
32620895,Apartamento T1 à venda em Centro - Nova Campolide,Campolide,NA,325000,46,T1
32238522,"Apartamento T1 à venda na avenida Elias Garcia , 134",Campo Pequeno - Praça de Espanha,Avenidas Novas,520000,80,T1
32629901,"Apartamento T1 à venda , Praça Afonso de Albuquerque s/n",Centro,Belém,750000,98,T1
32397407,Apartamento T1 à venda na avenida de Berna s/n,Campo Pequeno - Praça de Espanha,Avenidas Novas,490000,76,T1
32520688,Apartamento T1 à venda na rua Coelho da Rocha s/n,Centro,Campo de Ourique,300000,40,T1
30524445,"Apartamento T1 à venda na avenida da Índia, Loteamento Alcântara Poente s/n",Largo do Calvário - Lx Factory,Alcântara,435000,67,T1
32233458,Apartamento T1 à venda em Gare do Oriente - Zona Sul,Parque das Nações,NA,550000,103,T1
32238549,"Apartamento T1 à venda na avenida Elias Garcia , 134",Campo Pequeno - Praça de Espanha,Avenidas Novas,475000,65,T1
32238457,"Apartamento T1 à venda na avenida Elias Garcia , 134",Campo Pequeno - Praça de Espanha,Avenidas Novas,560000,87,T1
32238522,"Apartamento T1 à venda na avenida Elias Garcia , 134",Campo Pequeno - Praça de Espanha,Avenidas Novas,520000,80,T1
32629901,"Apartamento T1 à venda , Praça Afonso de Albuquerque s/n",Centro,Belém,750000,98,T1
32600727,Apartamento T1 à venda na avenida 5 de Outubro,Entrecampos,Avenidas Novas,560000,79,T1
32631857,Apartamento T1 à venda em Centro,Penha de França,NA,299900,52,T1
32590414,"Apartamento T1 à venda na avenida Dom Carlos I, 124",Príncipe Real - São Bento,Misericórdia,598000,90,T1
32437925,"Apartamento T1 à venda na rua dom joao de castro, 62",Alto de Alcântara,Alcântara,190000,34,T1
32519987,Apartamento T1 à venda em Bica - Santa Catarina,Misericórdia,NA,561750,83,T1
32538822,Apartamento T1 à venda em Santos-o-Velho - Madragoa,Estrela,NA,248000,53,T1
32426647,"Apartamento T1 à venda , Av. Eng. Arantes de Oliveira",Olaias,Areeiro,280000,80,T1
32560384,Apartamento T1 à venda na travessa da Água da Flor s/n,Bairro Alto,Misericórdia,585000,67,T1
32543907,Apartamento T1 à venda na rua João Morais Barbosa,Carnide,Lisboa,290000,71,T1
32500743,Apartamento T1 à venda na rua Casimiro Freire,Bairro dos Actores,Areeiro,315000,70,T1
32313202,Apartamento T1 à venda em Prazeres - Maria Pia,Campo de Ourique,NA,405000,75,T1
32173296,Duplex à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,1500000,148,T1
32465973,Apartamento T1 à venda em Expo Central,Parque das Nações,NA,675000,77,T1
32532157,Apartamento T1 à venda em Principe Real - Praça da Alegria,Santo António,NA,520000,101,T1
31119621,Apartamento T1 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,990000,84,T1
32553679,Apartamento T1 à venda em Bica - Santa Catarina,Misericórdia,NA,338000,53,T1
32629890,"Apartamento T1 à venda , Praça Afonso de Albuquerque s/n",Centro,Belém,560000,75,T1
32363520,"Apartamento T1 à venda na rua do Alecrim, 23",Chiado - Pç. de Camões,Misericórdia,765070,98,T1
32298730,Apartamento T1 à venda em Lapa,Estrela,NA,580000,90,T1
32199953,Apartamento T1 à venda em Prazeres - Maria Pia,Campo de Ourique,NA,309000,65,T1
32551246,Apartamento T1 à venda em Olaias,Areeiro,NA,325000,83,T1
32403106,Apartamento T1 à venda em Calçada da Ajuda - Belém,Ajuda,NA,225000,47,T1
32301280,Apartamento T1 à venda em Expo Sul,Parque das Nações,NA,460000,69,T1
32629892,"Apartamento T1 à venda , Praça Afonso de Albuquerque s/n",Centro,Belém,620000,79,T1
32377226,Apartamento T1 à venda em Lapa,Estrela,NA,625000,110,T1
31875177,Apartamento T1 à venda na rua Frederico Perry Vidal,Beato,Lisboa,190000,49,T1
32288939,Apartamento T1 à venda na rua de São Pedro Mártir,Castelo - Mouraria,Santa Maria Maior,130000,29,T1
