HouseID,Title,Hood,Parish,Price,Gross_Area,Typology
32457287,Apartamento T4 à venda na rua Damião de Góis,Pedrouços,Belém,1280000,228,T4
32457287,Apartamento T4 à venda na rua Damião de Góis,Pedrouços,Belém,1280000,228,T4
31989779,Duplex à venda na rua Rodrigo da Fonseca,Rato - Amoreiras,Santo António,2650000,220,T4
32396616,Apartamento T4 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,1850000,282,T4
32464101,Apartamento T5 à venda em Lapa,Estrela,NA,1950000,306,T5
31809526,Apartamento T4 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,4795000,333,T4
32579746,Apartamento T4 à venda em Estrada de Benfica,São Domingos de Benfica,NA,475000,115,T4
32054243,Apartamento T5 à venda em Largo do Rato - Estrela,Campo de Ourique,NA,1080000,181,T5
32542994,Apartamento T4 à venda na rua da Venezuela s/n,Bairro de Santa Cruz,Benfica,510000,160,T4
32086186,Apartamento T6 à venda na rua de Pedrouços s/n,Pedrouços,Belém,2200000,517,T6
32519595,Apartamento T4 à venda em Amoreiras,Campo de Ourique,NA,1290000,200,T4
31982877,Apartamento T4 à venda em Campo de Santana - Santa Marta,Santo António,NA,1250000,214,T4
32466805,Apartamento T4 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,875000,146,T4
32526490,Apartamento T4 à venda em Expo Central,Parque das Nações,NA,945000,214,T4
31822025,Apartamento T4 à venda na rua Castilho,Av. da Liberdade - Marquês de Pombal,Santo António,1900000,262,T4
32585257,"Apartamento T4 à venda na rua João de Freitas Branco, 33",Alto dos Moinhos,São Domingos de Benfica,970000,220,T4
32124049,Apartamento T6 à venda na rua de Pedrouços s/n,Pedrouços,Belém,2200000,516,T6
32300740,Apartamento T4 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,850000,161,T4
32227513,"Duplex à venda , campo dos Mártires da Pátria",Pena,Arroios,1850000,261,T4
32097152,"Apartamento T5 à venda na rua Vila de Catió, 398",Olivais,Lisboa,399500,135,T5
31158719," Moradia independente à venda na rua Acácio de Paiva, 18",São João de Brito,Alvalade,5800000,,"870 m² área bruta, 848 m² úteis"
32221475,Duplex à venda em São Sebastião da Pedreira,Avenidas Novas,NA,800000,180,T4
32211281," Moradia geminada à venda na rua Dr. José Alberto de Faria, 5",Bairro de Santa Cruz,Benfica,890000,,2 andares
32627029,"Apartamento T4 à venda na rua Abílio Mendes, 20",Alto dos Moinhos,São Domingos de Benfica,1290000,256,T4
32435787,Apartamento T6 à venda em Rato - Amoreiras,Santo António,NA,2975000,372,T6
32412199,Apartamento T6 à venda em Bairro Azul - Parque Eduardo VII,Avenidas Novas,NA,1750000,423,T6
32516177,Apartamento T4 à venda em Pena,Arroios,NA,1680000,260,T4
32556000,"Apartamento T4 à venda na rua da Palma, 163",Rossio - Martim Moniz,Santa Maria Maior,470000,153,T4
32602760,Apartamento T5 à venda em Paço do Lumiar,Lumiar,NA,1550000,509,T5
32603193,Apartamento T5 à venda em Rato - Amoreiras,Santo António,NA,1850000,347,T5
32088255,Apartamento T4 à venda em Saldanha - Picoas,São Jorge de Arroios,Arroios,1200000,265,T4
32079768,Apartamento T4 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,965000,180,T4
32453912,Apartamento T4 à venda em Centro,Areeiro,NA,1100000,234,T4
31842145,Apartamento T4 à venda em Cais do Sodré - Santos,Misericórdia,NA,1050000,150,T4
32047513,Apartamento T5 à venda em Olivais,Lisboa,NA,399500,125,T5
32367438,Apartamento T8 à venda em Santos-o-Velho - Madragoa,Estrela,NA,6480000,618,T8
32018984,Apartamento T4 à venda em Sete Rios,São Domingos de Benfica,NA,1190000,238,T4
32251975,Apartamento T4 à venda em Carnide,Lisboa,NA,849000,223,T4
32570048,Apartamento T4 à venda em Olivais,Lisboa,NA,315000,119,T4
32580975,Duplex à venda em Alto de Santo Amaro,Alcântara,NA,1350000,208,T5
32555858,Apartamento T4 à venda em Praça de Espanha - Sete Rios,Campolide,NA,1295000,164,T4
32547091,Apartamento T4 à venda em São Sebastião da Pedreira,Avenidas Novas,NA,1600000,200,T4
32251215, Moradia independente à venda em Olivais,Lisboa,NA,1100000,,"340 m² área bruta, 200 m² úteis"
32493810,Apartamento T4 à venda em Estefânia,São Jorge de Arroios,Arroios,599000,137,T4
32593810,Apartamento T4 à venda em Gare do Oriente - Zona Sul,Parque das Nações,NA,1190000,174,T4
32597379,Apartamento T5 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,1650000,282,T5
32500559,Apartamento T5 à venda em Santa Clara,Lisboa,NA,775000,247,T5
31930090,Apartamento T4 à venda em Baixa,Santa Maria Maior,NA,850000,155,T4
32381015,Apartamento T4 à venda em Lapa,Estrela,NA,1800000,253,T4
