HouseID,Title,Hood,Parish,Price,Gross_Area,Typology
32621128,Estúdio T0 à venda em Bica - Santa Catarina,Misericórdia,NA,395000,61,T0
32621128,Estúdio T0 à venda em Bica - Santa Catarina,Misericórdia,NA,395000,61,T0
32598993,"Estúdio T0 à venda na avenida 24 de Julho, 178",Alcântara,Estrela,265000,36,T0
32598992,"Estúdio T0 à venda na avenida 24 de Julho, 178",Alcântara,Estrela,260000,40,T0
31580565,Estúdio T0 à venda em Principe Real - Praça da Alegria,Santo António,NA,425000,36,T0
32503498,Estúdio T0 à venda na praceta Pátio Salema s/n,Pena,Arroios,525000,54,T0
32610068,"Estúdio T0 à venda na praça do Chile , 16",Alameda - Praça do Chile - Almirante Reis,São Jorge de Arroios,260000,34,T0
32365756,Estúdio T0 à venda em Bica - Santa Catarina,Misericórdia,NA,200000,40,T0
32620497,Estúdio T0 à venda em Santa Engrácia,São Vicente,NA,299900,63,T0
32036079,Estúdio T0 à venda em Bica - Santa Catarina,Misericórdia,NA,225000,35,T0
32410601,"Estúdio T0 à venda na rua Principado de Andorra, 1",Fonte Nova - Calhariz,Benfica,300000,55,T0
32623037,"Estúdio T0 à venda na rua de Entre Muros do Mirante, 8",São Vicente de Fora,São Vicente,235000,72,T0
32403253,"Estúdio T0 à venda na rua Principado de Andorra, 1",Fonte Nova - Calhariz,Benfica,300000,55,T0
31280707,Estúdio T0 à venda em Santos-o-Velho - Madragoa,Estrela,NA,410000,47,T0
32298594,Estúdio T0 à venda em Centro - Nova Campolide,Campolide,NA,575000,110,T0
32298595,Estúdio T0 à venda em Centro - Nova Campolide,Campolide,NA,640000,117,T0
32422554,Estúdio T0 à venda em Lapa,Estrela,NA,263000,39,T0
31922274,"Estúdio T0 à venda na rua Poiais de São Bento, Freguesia de Santa Catarina",Bica - Santa Catarina,Misericórdia,350000,42,T0
32604184,Estúdio T0 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,375000,59,T0
31194002,Estúdio T0 à venda em Castelo - Mouraria,Santa Maria Maior,NA,173500,30,T0
29453902,Estúdio T0 à venda em Alcântara,Estrela,NA,980000,156,T0
32027965,"Estúdio T0 à venda na rua Rua Braamcamp , 5",Av. da Liberdade - Marquês de Pombal,Santo António,378000,35,T0
32509589,Estúdio T0 à venda em São Vicente de Fora,São Vicente,NA,299900,63,T0
32603288,Estúdio T0 à venda em Estefânia,São Jorge de Arroios,Arroios,370000,52,T0
32526209,Estúdio T0 à venda na rua do Benformoso s/n,Rossio - Martim Moniz,Santa Maria Maior,230000,50,T0
32629895,"Estúdio T0 à venda , Praça Afonso de Albuquerque s/n",Centro,Belém,430000,51,T0
