HouseID,Title,Hood,Parish,Price,Gross_Area,Typology
31548895,"Apartamento T2 à venda na rua Sarmento de Beires, 48",Casal Vistoso,Areeiro,790000,120,T2
31548895,"Apartamento T2 à venda na rua Sarmento de Beires, 48",Casal Vistoso,Areeiro,790000,120,T2
32429742,Apartamento T2 à venda em Olivais,Lisboa,NA,229000,56,T2
32435504,Apartamento T2 à venda em Santa Isabel,Campo de Ourique,NA,439000,70,T2
32408300,Apartamento T2 à venda em Centro,Campo de Ourique,NA,499000,67,T2
32581290,Apartamento T2 à venda em Alameda - Praça do Chile - Almirante Reis,São Jorge de Arroios,Arroios,890000,120,T2
32474942,Apartamento T2 à venda na rua Gervásio Lobato,Centro,Campo de Ourique,330000,81,T2
32537458,Apartamento T2 à venda em Bica - Santa Catarina,Misericórdia,NA,995000,141,T2
32568133,"Apartamento T2 à venda na rua Nova dos Mercadores, 25",Expo Sul,Parque das Nações,574900,118,T2
32185227,"Apartamento T2 à venda na rua Campos Júnior, 1",Centro - Nova Campolide,Campolide,568000,120,T2
32431089,Apartamento T2 à venda na rua Correia Teles,Centro,Campo de Ourique,425000,77,T2
32455063,Apartamento T2 à venda na rua Soeiro Pereira Gomes s/n,Entrecampos,Avenidas Novas,425250,111,T2
32586650,"Apartamento T2 à venda na avenida Gomes Pereira, 93",Avenida do Uruguai,Benfica,260000,72,T2
32278048,Apartamento T2 à venda em Amoreiras,Campo de Ourique,NA,740000,100,T2
32016896,Apartamento T2 à venda em Centro,Campo de Ourique,NA,520000,100,T2
32482216,"Apartamento T2 à venda , Av. Engenheiro Arantes e Oliveira",Olaias,Areeiro,320000,83,T2
32637586,Apartamento T2 à venda em Centro - Nova Campolide,Campolide,NA,870000,129,T2
32433133,Apartamento T2 à venda em Av. de Roma - Campo Pequeno,Areeiro,NA,590000,116,T2
32631961,"Apartamento T2 à venda na rua das Pretas, 23",Av. da Liberdade - Marquês de Pombal,Santo António,585000,100,T2
32553274,Apartamento T2 à venda em Centro,Penha de França,NA,345000,86,T2
32637210,Apartamento T2 à venda em Bairro Azul - Parque Eduardo VII,Avenidas Novas,NA,450000,128,T2
32637179,Apartamento T2 à venda em Bairro Azul - Parque Eduardo VII,Avenidas Novas,NA,550000,134,T2
32216847,Apartamento T2 à venda na avenida Dom João II,Expo Norte,Parque das Nações,465000,83,T2
32629110,Apartamento T2 à venda em Centro - Nova Campolide,Campolide,NA,860000,108,T2
32125867,"Apartamento T2 à venda na rua Professor Hernâni Cidade, 1",Telheiras,Lumiar,380000,93,T2
32606797,"Apartamento T2 à venda , Praça Martim Moniz",Rossio - Martim Moniz,Santa Maria Maior,550000,109,T2
32381222,Apartamento T2 à venda na rua da Venezuela,Bairro de Santa Cruz,Benfica,329900,64,T2
32610306,Apartamento T2 à venda em Centro - Nova Campolide,Campolide,NA,650000,113,T2
32458582,"Apartamento T2 à venda na rua Doutor Gama Barros, 20",Alvalade,Alvalade,365000,93,T2
32511935,Apartamento T2 à venda na avenida Duque de Loulé,Av. da Liberdade - Marquês de Pombal,Santo António,950000,111,T2
32499644,"Apartamento T2 à venda , Calçada do Tojal",Calçada do Tojal,Benfica,330000,73,T2
32421933,Duplex à venda na rua Madre Deus,Santa Apolónia - Cruz da Pedra,Penha de França,1100000,186,T2
32593111,Apartamento T2 à venda em Santos-o-Velho - Madragoa,Estrela,NA,1190000,167,T2
32216643,Apartamento T2 à venda em Santos-o-Velho - Madragoa,Estrela,NA,750000,117,T2
32393243,Apartamento T2 à venda em Calçada da Ajuda - Belém,Ajuda,NA,820000,145,T2
32635365,Apartamento T2 à venda na rua da Venezuela,Bairro de Santa Cruz,Benfica,329900,69,T2
31610640,Apartamento T2 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,685000,106,T2
32588970,Apartamento T2 à venda na rua Infante Dom Pedro,Alvalade,Alvalade,449900,75,T2
32571064,Apartamento T2 à venda na avenida de Berna,Campo Pequeno - Praça de Espanha,Avenidas Novas,595000,84,T2
32538296,Apartamento T2 à venda em Praça de Espanha - Sete Rios,Campolide,NA,700000,90,T2
32615978,Apartamento T2 à venda em Pedralvas,Benfica,NA,203000,73,T2
32623701,Penthouse à venda em Alfama - Sé,Santa Maria Maior,NA,1630000,175,T2
32624321,Apartamento T2 à venda em Graça,São Vicente,NA,820000,102,T2
31958677,Apartamento T2 à venda na rua da Prata s/n,Baixa,Santa Maria Maior,597000,95,T2
32588961,"Apartamento T2 à venda na travessa Mercês, 24",Bairro Alto,Misericórdia,210000,40,T2
32268681,Apartamento T2 à venda na rua Cidade da Praia s/n,Olivais,Lisboa,249900,57,T2
32388547,Apartamento T2 à venda na rua Infantaria,Centro,Campo de Ourique,449900,65,T2
32450911,Apartamento T2 à venda na travessa Henrique Cardoso,Alvalade,Alvalade,449900,85,T2
32573900,Apartamento T2 à venda na rua do Vale de Santo António,São Vicente de Fora,São Vicente,399900,55,T2
32320771,Apartamento T2 à venda em Telheiras,Lumiar,NA,360000,108,T2
32401970,Apartamento T2 à venda em Graça,São Vicente,NA,250000,61,T2
32320773,Apartamento T2 à venda em Baixa,Santa Maria Maior,NA,385000,62,T2
32430567,Apartamento T2 à venda em Alvalade,Alvalade,NA,449900,77,T2
32440581,Apartamento T2 à venda em Expo Sul,Parque das Nações,NA,575000,129,T2
32293965,Apartamento T2 à venda em Centro - Nova Campolide,Campolide,NA,560000,91,T2
32369178,Apartamento T2 à venda em Bica - Santa Catarina,Misericórdia,NA,520000,130,T2
32475383,"Apartamento T2 à venda na travessa Henrique Cardoso, 72",Alvalade,Alvalade,449900,95,T2
32559575,Apartamento T2 à venda em Chiado,Santa Maria Maior,NA,950000,160,T2
32429791,Apartamento T2 à venda em Rato - Amoreiras,Santo António,NA,435000,83,T2
32417550,Apartamento T2 à venda em Amoreiras,Campo de Ourique,NA,1100000,130,T2
32615697,Apartamento T2 à venda em Centro,Campo de Ourique,NA,449900,72,T2
32494873,Apartamento T2 à venda em Laranjeiras,São Domingos de Benfica,NA,420000,73,T2
32589015,Apartamento T2 à venda em Centro,Ajuda,NA,625000,105,T2
32479403,"Apartamento T2 à venda na rua Carlos Mardel, 141",Bairro dos Actores,Areeiro,315500,84,T2
32523136,Apartamento T2 à venda em Entrecampos,Avenidas Novas,NA,345000,77,T2
32555516,Apartamento T2 à venda em Campo Grande,Alvalade,NA,420000,84,T2
