HouseID,Title,Hood,Parish,Price,Gross_Area,Typology
31989891,Apartamento T3 à venda na rua Rodrigo da Fonseca,Rato - Amoreiras,Santo António,1990000,176,T3
31989891,Apartamento T3 à venda na rua Rodrigo da Fonseca,Rato - Amoreiras,Santo António,1990000,176,T3
32509346,Apartamento T3 à venda em Rato - Amoreiras,Santo António,NA,1950000,217,T3
32459378,Apartamento T3 à venda na rua Estácio da Veiga,Centro,Penha de França,450000,84,T3
32149425,Apartamento T3 à venda em São Sebastião da Pedreira,Avenidas Novas,NA,870000,144,T3
32262219,Apartamento T3 à venda em Prazeres,Estrela,NA,427000,86,T3
31994625,Apartamento T3 à venda na rua Conde Ficalho,São João de Brito,Alvalade,520000,157,T3
32638750,"Apartamento T3 à venda , Av. Visconde Valmor",Campo Pequeno - Praça de Espanha,Avenidas Novas,999999,141,T3
32471115,"Apartamento T3 à venda na rua Conde Almoster, 106",Estrada de Benfica,São Domingos de Benfica,429900,66,T3
32261396,Apartamento T3 à venda na avenida Elias Garcia,Campo Pequeno - Praça de Espanha,Avenidas Novas,780000,147,T3
31948795,"Apartamento T3 à venda na rua Santa Bárbara, 16",Anjos,Arroios,490000,117,T3
32349518,Apartamento T3 à venda na rua Conde de Almoster,Estrada de Benfica,São Domingos de Benfica,429900,80,T3
32601397,Apartamento T3 à venda em Anjos,Arroios,NA,550000,104,T3
32378706,Apartamento T3 à venda na avenida da República,Entrecampos,Avenidas Novas,1160000,175,T3
32440625,"Apartamento T3 à venda , Praça Nuno Rodrigues dos Santos",Laranjeiras,São Domingos de Benfica,790000,136,T3
32494760, Moradia independente à venda em Cais do Sodré - Santos,Misericórdia,NA,1590000,,202 m² área bruta
32637591,Apartamento T3 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,895000,172,T3
32327784,Apartamento T3 à venda em Centro,Lumiar,NA,630000,148,T3
32379090,Duplex à venda na rua Silva Carvalho,Amoreiras,Campo de Ourique,625000,141,T3
32419500,"Apartamento T3 à venda na rua Bernardim Ribeiro, 87",Campo de Santana - Santa Marta,Santo António,349000,80,T3
32385890,Apartamento T3 à venda na avenida Coronel Eduardo Galhardo,Centro,Penha de França,475000,132,T3
32444581,"Apartamento T3 à venda na avenida da Ilha da Madeira, 30",Restelo,Belém,550000,161,T3
32349040,"Duplex à venda , da Industria, 48",Alto de Santo Amaro,Alcântara,1138000,166,T3
32633052,"Apartamento T3 à venda na rua Marquês de Fronteira, 102",Centro - Nova Campolide,Campolide,419000,98,T3
32629116,Apartamento T3 à venda em Anjos,Arroios,NA,2000000,182,T3
32632299,Apartamento T3 à venda em Alvalade,Alvalade,NA,1080000,150,T3
31672863,"Apartamento T3 à venda na rua Azinhaga das Galhardas, 181",Telheiras,Lumiar,820000,214,T3
32453142,Apartamento T3 à venda na rua Engenheiro Nobre Guedes,Bairro de Santa Cruz,Benfica,489900,104,T3
32453975,Apartamento T3 à venda na rua Doutor Rafael Duque,Arneiros,Benfica,489900,101,T3
32615809,Apartamento T3 à venda em Pena,Arroios,NA,730000,113,T3
32615809,Apartamento T3 à venda em Pena,Arroios,NA,730000,113,T3
32506792,"Apartamento T3 à venda na rua Prior Coutinho, 10",Campo de Santana - Santa Marta,Santo António,499900,80,T3
32616678,"Apartamento T3 à venda na rua de Macau, 20",Anjos,Arroios,587000,133,T3
32477144,Apartamento T3 à venda na rua dos correeiros,Baixa,Santa Maria Maior,999500,145,T3
32565888,Apartamento T3 à venda na rua da Prata,Baixa,Santa Maria Maior,650000,110,T3
32482636,Apartamento T3 à venda em Expo Central,Parque das Nações,NA,1350000,170,T3
32410987,Apartamento T3 à venda em Estrada de Benfica,São Domingos de Benfica,NA,429900,72,T3
32241394,Apartamento T3 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,1280000,176,T3
32341939,Apartamento T3 à venda em Restelo,Belém,NA,499000,116,T3
32307992,Apartamento T3 à venda em Prazeres,Estrela,NA,1135000,150,T3
32487500,Apartamento T3 à venda em Entrecampos,Avenidas Novas,NA,1575000,286,T3
32601459, Casa ou moradia à venda em Centro,Belém,NA,1400000,,3 andares
32486769,Apartamento T3 à venda em Príncipe Real - São Bento,Misericórdia,NA,1050000,125,T3
32576248,Apartamento T3 à venda na avenida Dom João II s/n,Expo Central,Parque das Nações,887000,178,T3
32566397,Apartamento T3 à venda na rua do Vale Formoso de Cima s/n,Marvila,Lisboa,448500,112,T3
32473880,Apartamento T3 à venda na rua Doutor Rafael Duque,Arneiros,Benfica,489900,89,T3
32592868,Apartamento T3 à venda na rua Prior Coutinho,Campo de Santana - Santa Marta,Santo António,499900,82,T3
32415587,Apartamento T3 à venda em Largo do Calvário - Lx Factory,Alcântara,NA,997000,220,T3
32574951,Apartamento T3 à venda em Rato - Amoreiras,Santo António,NA,625000,117,T3
32497817,Apartamento T3 à venda em Centro,Penha de França,NA,455000,80,T3
32399659,Apartamento T3 à venda em Alto do Lumiar - Quinta das Conchas - Quinta do Lambert,Lumiar,NA,519000,128,T3
32249480,Apartamento T3 à venda em Marvila,Lisboa,NA,775500,201,T3
32535366,Apartamento T3 à venda em Campo de Santana - Santa Marta,Santo António,NA,830000,123,T3
32351286,"Apartamento T3 à venda na avenida da república, 82",Alvalade,Alvalade,857000,155,T3
32082267,Apartamento T3 à venda em Alvalade,Alvalade,NA,1160000,175,T3
31485473,Apartamento T3 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,1280000,146,T3
32153854,Apartamento T3 à venda em Rato - Amoreiras,Santo António,NA,1820000,223,T3
32526096,"Apartamento T3 à venda na rua Serpa Pinto, 12",Chiado,Santa Maria Maior,2500000,185,T3
32573138,Apartamento T3 à venda na rua Maia Ataíde,Fonte Nova - Calhariz,Benfica,353000,92,T3
32587227,Apartamento T3 à venda em Expo Sul,Parque das Nações,NA,690000,170,T3
32332545,"Apartamento T3 à venda , Praça Bernardo Santareno, 5",Casal Vistoso,Areeiro,547000,130,T3
32486614,Apartamento T3 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,1550000,177,T3
32628638,Duplex à venda em Fonte Nova - Calhariz,Benfica,NA,279000,75,T3
32507535,Penthouse à venda em Expo Norte,Parque das Nações,NA,675000,164,T3
32621656,Apartamento T3 à venda na rua Ramalho Ortigão s/n,Bairro Azul - Parque Eduardo VII,Avenidas Novas,695000,141,T3
32611601,Apartamento T3 à venda na avenida Infante Santo s/n,Lapa,Estrela,995000,148,T3
32583621,Apartamento T3 à venda na rua Conde Almoster,Estrada de Benfica,São Domingos de Benfica,429900,91,T3
32266960,Apartamento T3 à venda em Chiado,Santa Maria Maior,NA,745000,126,T3
32557195,Apartamento T3 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,895000,172,T3
32623034,Apartamento T3 à venda em Paço do Lumiar,Lumiar,NA,1400000,177,T3
32360471,Apartamento T3 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,980000,138,T3
32563338,Apartamento T3 à venda na rua Tenente Espanca,Campo Pequeno - Praça de Espanha,Avenidas Novas,498500,128,T3
32567600,Apartamento T3 à venda na rua Prior Coutinho,Campo de Santana - Santa Marta,Santo António,499900,82,T3
32086300,"Apartamento T3 à venda na avenida Visconde de Valmor, 19",Campo Pequeno - Praça de Espanha,Avenidas Novas,1650000,270,T3
31855443,Penthouse à venda em Santos-o-Velho - Madragoa,Estrela,NA,2650000,367,T3
32608008,Apartamento T3 à venda em Campo Grande,Alvalade,NA,950000,147,T3
32603560,Apartamento T3 à venda na rua das Olarias,Graça,São Vicente,248000,65,T3
32426633,Duplex à venda na rua de São Domingos de Benfica,Estrada de Benfica,São Domingos de Benfica,485000,135,T3
32406170,"Apartamento T3 à venda na rua Tomás da Anunciação, 16",Centro,Campo de Ourique,339000,64,T3
32384002,"Apartamento T3 à venda , Calçada dos Barbadinhos",Santa Engrácia,São Vicente,710000,193,T3
32416005,Apartamento T3 à venda em Centro,Campo de Ourique,NA,599000,110,T3
32614317,Apartamento T3 à venda na rua João de Oliveira Miguens s/n,Largo do Calvário - Lx Factory,Alcântara,880000,181,T3
30984999,"Apartamento T3 à venda na estrada Estrada de Benfica, 722",Portas de Benfica - Mercado de Benfica,Benfica,585000,152,T3
32412384,"Apartamento T3 à venda na rua Augusto Costa, 2",Pedralvas,Benfica,420000,111,T3
32610084,"Apartamento T3 à venda , Av. do Brasil",São João de Brito,Alvalade,485000,132,T3
32336510,Apartamento T3 à venda na avenida Doutor Mário Moutinho,Restelo,Belém,650000,130,T3
32592591,Apartamento T3 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,1030000,144,T3
31955965,Apartamento T3 à venda na rua João de Freitas Branco s/n,Alto dos Moinhos,São Domingos de Benfica,1220000,173,T3
31938313,Apartamento T3 à venda na rua João de Freitas Branco s/n,Alto dos Moinhos,São Domingos de Benfica,1100000,174,T3
29958120,Apartamento T3 à venda em Pena,Arroios,NA,985000,146,T3
31955965,Apartamento T3 à venda na rua João de Freitas Branco s/n,Alto dos Moinhos,São Domingos de Benfica,1220000,173,T3
