HouseID,Title,Location,Price,Gross_Area,Topology
ID19Rw5.html#de153c1408,Apartamento T3 com varanda perto da Avenida da Liberdade,Santo António,"1344300,81",104,T3
ID18F2T.html#de153c1408,Edifício SQUARE Bloco B-5ºD,"Rua B aos Jardins Braço de Prata , Marvila",870000,180.2,T2
ID18zXU.html#de153c1408,Apartamento T2+1 Duplex com terraço e estacionamento na Estrela,Estrela,1560000,152.3,T2
ID19RuF.html#de153c1408,Apartamento T2 com varanda perto da Avenida da Liberdade,Santo António,"1055785,99",95,T2
ID18zXT.html#de153c1408,Apartamento T3 com duas varandas e estacionamento na Estrela,Estrela,2175000,226.2,T3
ID18zXX.html#de153c1408,Apartamento T4+1 com varanda e estacionamento na Estrela,Estrela,2210000,232.1,T4
ID1aqNT.html#de153c1408,Edifício PARK Bloco B 5ºA,"Rua B aos Jardins Braço de Prata , Marvila",980000,153.1,T2
ID1aqO6.html#de153c1408,Edifício PARK Bloco C 1ºA,"Rua B aos Jardins Braço de Prata , Marvila",1510000,266.5,T4
ID1aLHZ.html#de153c1408,"Apartamento T2 com varanda e garagem na Praça de Espanha,...",Avenidas Novas,652000,89,T2
ID17AHC.html#de153c1408,Edifício SQUARE Bloco C-3ºF,"Rua B aos Jardins Braço de Prata , Marvila",520000,79.6,T1
ID19Ruw.html#de153c1408,Apartamento T1 com varanda perto da Avenida da Liberdade,Santo António,"789267,37",81,T1
ID1aptV.html#de153c1408,Edifício SQUARE Bloco D 2ºE,"Rua B aos Jardins Braço de Prata , Marvila",955000,184.2,T3
ID1aqSv.html#de153c1408,Edifício PARK Bloco C 4ºA,"Rua B aos Jardins Braço de Prata , Marvila",1180000,192.3,T3
ID1aLGP.html#de153c1408,Apartamento T1 com varanda e estacionamento na Praça de E...,Avenidas Novas,460000,54,T1
ID1b8zX.html#de153c1408,Apartamento T4 para venda,Olivais,380000,110,T4
ID1b7Jb.html#de153c1408,Estefânia T2 - OPORTUNIDADE,"Rua Cidade da Horta , Arroios",425000,95,T2
ID1b8wb.html#de153c1408,"Apartamento T1 Em Remodelação Total, com Parqueamento, em...",São Domingos de Benfica,329900,50,T1
ID1b8up.html#de153c1408,SANDOMIL  PALACE LUXURY APARTMENTS | APARTAMENTO IMPAR NO CHIADO | NOV,Misericórdia,1475000,204,T2
ID1b8rk.html#33b677478f,Apartamento T1 para venda,Benfica,190000,56,T1
ID1b8qt.html#33b677478f,Apartamento T3 para venda,São Domingos de Benfica,380000,113,T3
ID1b7A5.html#33b677478f,T2 com varanda Remodelado em Benfica,"Rua da Venezuela , Benfica",349900,60,T2
ID1a2XK.html#33b677478f,T3 de luxo com garagem e terraço nas Amoreiras,"Rua Aviador Plácido de Abreu , Campolide",1375000,134.95,T3
ID18BYu.html#33b677478f,Apartamento 3 Quartos,"Calçada da Glória , Santo António",2590000,218.15,T3
ID15ApQ.html#33b677478f,T1 de luxo com garagem e varanda nas Amoreiras com redime...,"Rua Aviador Plácido de Abreu , Campolide",650000,94,T1
ID18C06.html#33b677478f,Apartamento 1 Quartos,"Calçada da Glória , Santo António",560000,71.1,T1
ID18C0W.html#33b677478f,Apartamento 2 Quartos,Santa Maria Maior,965000,172,T2
ID18BZ6.html#33b677478f,Apartamento 2 Quartos,"Calçada da Glória , Santo António",857000,112.65,T2
ID18C19.html#33b677478f,Apartamento 1 Quartos,Santa Maria Maior,695000,127,T1
ID1b6Zg.html#33b677478f,"Luminoso apartamento T3 Vila Nova da Caparica, Almada","Largo Vitorino Damásio , Estrela",214000,108,T3
ID1b8OK.html#33b677478f,"Apartamento T1, Totalmente Remodelado, Vista Jardim Const...",Arroios,489000,68,T1
ID1b8rm.html#33b677478f,Apartamento T2 em Benfica completamente remodelado para oferecer um am,"Rua da Venezuela , Benfica",329900,70,T2
ID1ayVe.html#33b677478f,"T3 junto ao Técnico, com linda vista",Arroios,470000,96,T3
ID18BWg.html#33b677478f,Duplex 3 Quartos,"Rua do Alecrim , Misericórdia",1350000,166.4,T3
ID18BVl.html#33b677478f,Apartamento 2 Quartos,"Rua do Alecrim , Misericórdia",1100000,144.41,T2
ID18BXM.html#33b677478f,Duplex 1 quarto,"Rua do Alecrim , Misericórdia",900000,204.66,T1
ID1aQIa.html#33b677478f,"Apartamento T2 em Campo de Ourique, Lisboa",Campo de Ourique,449900,63,T2
ID1aUKK.html#33b677478f,"Apartamento T3 em Benfica, Lisboa",São Domingos de Benfica,429900,72,T3
ID1b1hZ.html#33b677478f,"Apartamento T2 na Penha de França, Lisboa",Penha de França,260000,51,T2
ID1axX5.html#33b677478f,Apartamento T3 para venda na Baixa de Lisboa,Santa Maria Maior,999500,145,T3
ID1aUzq.html#33b677478f,Apartamento T1 para venda em Arroios - Estefânia,Arroios,489000,68,T1
ID198OZ.html#33b677478f,Apartamento T3 com terraço e estacionamento no Areeiro,Areeiro,890000,143,T3
ID1auI7.html#33b677478f,"Oferta da escritura. Apartamento T2, novo, na zona da Lapa.",Estrela,900000,159,T2
ID15vyM.html#f8c86f27e1,Excelente loft T1 em condomínio privado no centro históri...,Misericórdia,950000,165,T1
ID15yHK.html#f8c86f27e1,"Apartamento T0 charmoso, com rentabilidade garantida, na ...",Santa Maria Maior,255000,38,T0
ID18leO.html#f8c86f27e1,"T2 em empreendimento novo em zona prime de Lisboa, com el...",Santa Maria Maior,690000,84,T2
ID198PR.html#f8c86f27e1,Apartamento T2 com terraço e estacionamento no Areeiro,Areeiro,856000,127,T2
ID1awTz.html#f8c86f27e1,Apartamento T1+2,"Rua Eça de Queirós , Santo António",690000,79,T1
ID1aTTX.html#f8c86f27e1,"Apartamento T3 espaçoso inserido em Palácio, no Bairro Al...",Misericórdia,915000,169,T3
ID1aTXA.html#f8c86f27e1,"Apartamento T1 duplex muito charmoso, no Bairro Alto, Lisboa",Misericórdia,500000,94,T1
ID17LPE.html#f8c86f27e1,"Apartamento T3 com estacionamento e vista, junto ao Marti...",Arroios,1034460,142,T3
ID1b8eE.html#f8c86f27e1,Apartamento T4 Alvalade,"Rua Afonso Lopes Vieira , Alvalade",494900,110,T4
ID1aZpp.html#f8c86f27e1,Apartamento T3 no Bairro Serafina- Campolide,"Rua Alexandre de Gusmão - Bairro da Serafina , Campolide",199000,100,T3
ID1b7l0.html#f8c86f27e1,Fantástico apartamento T2  em Entrecampos com garagem e arrecadação,"Rua Mário Cesariny - Entrecampos , Avenidas Novas",539000,122,T2
ID1b88N.html#f8c86f27e1,Apartamento T2 para venda,"Avenida Elias Garcia , Avenidas Novas",425000,78,T2
